Date,Time,Latitude,Longitude,Number_of_Casualties,Road_Surface_Conditions,Weather_Conditions,Light_Conditions,Speed_Limit
2012-01-01,04:23:15,51.51382181790242,-0.24318415155928025,1,Snow,Snowing,Darkness - lights lit,40
2012-01-01,00:14:20,51.57005195433777,-0.2877407439482662,4,Flood (Over 3cm of water),Raining,Darkness - lights unlit,70
2012-01-01,21:20:20,51.46697931355858,0.02185536124284082,5,Dry,Fog,Darkness - lights lit,30
2012-01-01,15:14:46,51.592271604611355,-0.052791285922526576,4,Dry,Other,Daylight,20
2012-01-01,01:44:25,51.50874491813287,-0.2100714865493587,3,Frost / ice,Other,Darkness - lights lit,60
2012-01-01,22:53:06,51.32967047823772,0.013189976644470525,5,Snow,Raining,Darkness - lights lit,30
2012-01-01,10:19:54,51.376806500387175,-0.28302278369270545,2,Frost / ice,Fine,Darkness - lights lit,60
2012-01-01,12:15:31,51.63599928929758,0.13586420928346143,2,Flood (Over 3cm of water),Snowing,Darkness - lights unlit,60
2012-01-01,16:44:23,51.58996509864978,-0.3165448397538768,4,Wet / Damp,Fine,Daylight,50
2012-01-01,04:27:03,51.657904794805,-0.3729298436943875,4,Snow,Fine,Darkness - lights unlit,20
2012-01-02,11:24:50,51.34702289964837,0.1259515275991,1,Flood (Over 3cm of water),Raining,Daylight,20
2012-01-02,18:40:21,51.696089013846034,0.06631362455834655,1,Flood (Over 3cm of water),Raining,Darkness - lights lit,30
2012-01-02,18:00:20,51.383762685579974,-0.3538888194385612,3,Dry,Fog,Darkness - lights lit,30
2012-01-02,00:12:49,51.30471195051465,-0.4070033978480496,1,Frost / ice,Fog,Daylight,30
2012-01-02,16:35:35,51.69896917562142,0.17071927078935367,4,Dry,Fog,Darkness - lights unlit,20
2012-01-02,17:29:15,51.41242955417805,0.12127878575735052,4,Dry,Fog,Darkness - lights unlit,60
2012-01-02,18:02:05,51.567207781005024,-0.2381941010402686,1,Wet / Damp,Fog,Darkness - lights lit,60
2012-01-02,18:52:49,51.37067292567052,0.026557926570693335,3,Frost / ice,Other,Daylight,30
2012-01-02,01:28:31,51.53209141287966,-0.4006718507617514,4,Wet / Damp,Raining,Daylight,60
2012-01-03,23:05:04,51.66161399458183,-0.09436187276185748,3,Flood (Over 3cm of water),Snowing,Daylight,30
2012-01-03,14:55:07,51.42807246697137,-0.4850157663516641,4,Wet / Damp,Snowing,Daylight,70
2012-01-03,23:41:45,51.56810159041775,-0.18671849526275563,3,Flood (Over 3cm of water),Snowing,Darkness - lights lit,40
2012-01-03,07:58:13,51.37516143551937,-0.4401257428228759,3,Dry,Snowing,Darkness - lights unlit,60
2012-01-03,19:58:52,51.54991815948749,-0.11988225587449397,3,Wet / Damp,Snowing,Darkness - lights lit,70
2012-01-03,07:07:38,51.434580140727,-0.1626546825176845,1,Frost / ice,Other,Daylight,20
2012-01-03,23:27:58,51.38448330343518,-0.14449197868955516,2,Wet / Damp,Raining,Darkness - lights unlit,70
2012-01-03,05:07:11,51.42527282028145,-0.4637349583616047,3,Flood (Over 3cm of water),Fog,Darkness - lights lit,50
2012-01-03,00:45:47,51.371536427403115,-0.21070692697453408,3,Snow,Fog,Daylight,70
2012-01-04,16:25:50,51.66076644313515,0.1051870792799332,4,Frost / ice,Fog,Darkness - lights lit,70
2012-01-04,18:15:25,51.45887475452685,-0.20486850131710393,2,Flood (Over 3cm of water),Raining,Daylight,70
2012-01-04,23:30:54,51.39811172198974,0.07213756208766453,4,Snow,Raining,Darkness - lights lit,20
2012-01-04,09:56:13,51.47936313640637,-0.2044170210930134,4,Frost / ice,Other,Darkness - lights lit,20
2012-01-04,18:43:55,51.4282144667226,-0.16140844680785082,3,Snow,Other,Darkness - lights lit,50
2012-01-04,15:48:06,51.597767701525335,-0.048886309736587086,5,Dry,Fog,Daylight,30
2012-01-04,18:33:23,51.6884879647542,0.260545549445666,2,Dry,Raining,Darkness - lights unlit,60
2012-01-04,08:45:51,51.47521346267906,-0.4129116426826759,4,Wet / Damp,Fog,Darkness - lights unlit,20
2012-01-04,03:09:54,51.644413359988896,-0.47366898507106103,5,Wet / Damp,Other,Daylight,60
2012-01-05,19:11:32,51.526345229423846,-0.013634252951963854,5,Wet / Damp,Fog,Darkness - lights unlit,50
2012-01-05,01:04:50,51.36289426603769,0.25927767114274114,4,Wet / Damp,Other,Darkness - lights unlit,70
2012-01-05,11:33:26,51.57624909683254,0.291778506043772,3,Snow,Fine,Darkness - lights lit,50
2012-01-05,22:13:58,51.50537379885033,-0.1126686020863985,1,Frost / ice,Snowing,Darkness - lights lit,60
2012-01-05,02:57:07,51.56024260930084,-0.12553470313192122,4,Frost / ice,Fine,Daylight,60
2012-01-05,02:26:32,51.655874965028666,0.01597101659615696,3,Wet / Damp,Fog,Daylight,50
2012-01-05,20:32:49,51.47617382826242,-0.05549219423602414,2,Dry,Fog,Darkness - lights lit,30
2012-01-05,11:56:41,51.66047104928695,0.007270446091294569,3,Flood (Over 3cm of water),Raining,Daylight,60
2012-01-05,21:15:52,51.600267605712666,0.1991995404303154,5,Wet / Damp,Snowing,Daylight,40
2012-01-06,06:38:17,51.495441970351195,0.09704493559008742,2,Wet / Damp,Other,Darkness - lights unlit,70
2012-01-06,18:55:48,51.541288854263186,-0.10249808665056354,2,Dry,Fog,Daylight,40
2012-01-06,06:31:23,51.430232453007605,-0.1305084327998643,1,Flood (Over 3cm of water),Other,Daylight,60
2012-01-06,13:29:15,51.69343891989551,0.011681398810492793,1,Snow,Other,Darkness - lights lit,20
2012-01-06,04:45:59,51.566940465220156,-0.13543497246376202,4,Snow,Other,Daylight,50
2012-01-06,22:14:37,51.31753874099865,-0.1337765189874881,3,Flood (Over 3cm of water),Fine,Darkness - lights lit,30
2012-01-06,09:58:40,51.4306487622992,-0.4869552785707961,4,Flood (Over 3cm of water),Other,Daylight,40
2012-01-06,18:38:41,51.549325773503625,-0.3607486900741532,1,Snow,Raining,Darkness - lights unlit,40
2012-01-06,19:17:59,51.32253331111969,-0.10918908800339755,5,Wet / Damp,Fine,Darkness - lights lit,20
2012-01-07,05:24:17,51.309553676527656,0.1581227672402954,1,Wet / Damp,Fine,Daylight,60
2012-01-07,18:29:17,51.48000969581112,-0.2770183946183007,3,Dry,Fog,Daylight,20
2012-01-07,21:26:29,51.43307607187707,-0.08188525349508075,5,Flood (Over 3cm of water),Snowing,Darkness - lights unlit,30
2012-01-07,21:55:53,51.475319443213266,-0.22403033219261426,4,Wet / Damp,Snowing,Daylight,60
2012-01-07,14:43:15,51.405077323952,-0.4161568083683288,4,Wet / Damp,Fog,Darkness - lights unlit,40
2012-01-07,11:19:17,51.36588709877719,0.26663878645704053,1,Dry,Snowing,Darkness - lights lit,40
2012-01-07,02:41:32,51.575657342792134,0.18373909620024143,1,Flood (Over 3cm of water),Other,Darkness - lights lit,50
2012-01-07,12:42:38,51.50582844650712,-0.43720606042647486,4,Dry,Raining,Daylight,30
2012-01-07,20:06:49,51.38006168449974,0.07582980997462774,4,Dry,Other,Darkness - lights lit,40
2012-01-08,19:46:51,51.427835770504,-0.22193607651399982,2,Snow,Snowing,Darkness - lights unlit,20
2012-01-08,18:14:57,51.53672316306533,0.29587984564943415,3,Dry,Snowing,Darkness - lights unlit,40
2012-01-08,10:17:45,51.328891739308986,-0.2580811841368178,2,Flood (Over 3cm of water),Raining,Daylight,20
2012-01-08,09:03:26,51.35898120370647,-0.30900924370992006,2,Wet / Damp,Fine,Darkness - lights unlit,20
2012-01-08,03:12:14,51.32929824164295,-0.04568756135567581,4,Wet / Damp,Fine,Darkness - lights unlit,70
2012-01-08,11:13:17,51.624926933085646,0.16810093067456333,3,Snow,Raining,Darkness - lights unlit,70
